命令,别名,功能说明,命令行,参数,default,leexioua,huawei
alert,echo,弹窗提示,内置动作 弹窗消息,消息内容,√,,
amap,,高德地图搜索,https://ditu.amap.com/search?query={%p},搜索关键词,√,,
baidu,b,百度搜索,https://www.baidu.com/s?wd={%p},搜索关键词,√,,
bg,,百度谷歌搜索,b({%p});g({%p}),搜索关键词,√,,
bili,,B站搜索,https://search.bilibili.com/all?keyword={%p},搜索关键词,√,,
bmap,map,百度地图搜索,https://map.baidu.com/?newmap=1&ie=utf-8&s=s%26wd%3D{%p},搜索关键词,√,,
book,,书籍搜索,https://search.douban.com/book/subject_search?search_text={%p},搜索关键词,√,,
cfg,set,xfold.ini配置,edit(%A_ScriptDir%\xfold.ini),无,√,,
cmds,,xfold命令行参考,"preview(%A_ScriptDir%\docs\xfold-cmd.csv);delay(500,winmax)",无,√,,
cmdsd,,xfold命令行参考-default,"preview(%A_ScriptDir%\docs\xfold-cmd-default.csv);delay(500,winmax)",无,√,,
debug,,切换调试模式,loglevel(debug),无,√,,
deepl,"fanyi,fy,translate",DEEPL翻译,https://www.deepl.com/translator#en/zh/{%p},搜索关键词,√,,
douban,"d,db",豆瓣搜索,https://www.douban.com/search?q={%p},搜索关键词,√,,
find,,搜索文件,"find=findIt({%p},0)",文件名搜索关键词,√,,
findit,"f,file",搜索文件,内置动作 Everything文件搜索，截取文件名,文件名搜索关键词,√,,
forvo,vo,Forvo发音搜索,https://forvo.com/search/{%p},搜索关键词,√,,
ft,,搜索窗口标题文件,"value(keyword,title());delay(100,find(value(keyword)))",无,√,,
g,,谷歌搜索,https://www.google.com/search?q={%p},搜索关键词,√,,
gb,,谷歌百度搜索,g({%p});b({%p}),搜索关键词,√,,
gi,,谷歌图片搜索,https://www.google.com/search?q={%p}&tbm=isch,搜索关键词,√,,
github,gh,Github搜索,https://github.com/search?q={%p},搜索关键词,√,,
gmap,,谷歌地图搜索,https://maps.google.com/maps?q={%p}&um=1,搜索关键词,√,,
h,help,xfold帮助文档,open(%A_ScriptDir%\docs\README.pdf);open(%A_ScriptDir%\docs\xfold-shortcuts.pdf),无,√,,
